OID,IDTRSD,TreeSpecie,TreeDBH
656,09N4124WL,PINE,32
657,09N4133NL,FIR,10
658,09N4330WL,PINE,24
659,09S3330WL,PINE,40
660,09S3424WL,FIR,24
661,09S3521WL,WESTERN LARCH,14
662,09S3522WL,FIR,20
663,09S3536WL,FIR,26
664,10S3418WL,PINE,40
665,02N3725WL,FIR,18
666,03N4106NL,PINE,48
667,03N4115WL,PINE,50
668,03N4123WL,PINE,18
669,03N4132NL,FIR,24
670,03N4133NL,FIR,12
671,03N4135NL,PINE,30
672,04N4123WL,FIR,30
673,04N4125WL,FIR,14
674,04N4133WL,WESTERN LARCH,24
675,04N4135WL,PINE,20
676,05N3815WL,FIR,30
677,05N3820NL,FIR,30
678,05N3803WL,FIR,26
679,05N3811WL,WESTERN LARCH,20
680,05S2724EL,FIR,36
681,05S2936WL,PINE,30
682,06N3801WL,RED FIR,20
683,06N4201EL,YELLOW PINE,30
684,06N4201WL,WESTERN LARCH,40
685,06N4212NL,PINE,24
686,06N4306NL,YELLOW PINE,36
687,06S2512EL,PINE,20
688,06S2513EL,FIR,12
689,06S2536EL,PINE,24
690,06S2601WL,PINE,10
691,06S2612WL,FIR,36
692,06S2632WL,PINE,16
693,06S2735WL,PINE,24
694,06S2811WL,PINE,36
695,06S2812EL,FIR,30
696,06S3516NL,FIR,12
697,07N4326WL,PINE,4
698,08N4107WL,FIR,10
699,08N4113EL,WHITE FIR,18
700,08N4131SL,SPRUCE,12
701,09N4133NL,PINE,18
702,09S3536WL,WESTERN LARCH,22
703,03N4115WL,WESTERN LARCH,34
704,03N4123WL,PINE,12
705,03N4132NL,PINE,40
706,03N4133NL,PINE,38
707,03N4135NL,WESTERN LARCH,28
708,04N4125WL,WESTERN LARCH,24
709,06N4201EL,RED FIR,15
710,06N4212NL,PINE,48
711,06N4306NL,WHITE FIR,6
712,06S2513EL,PINE,12
713,07N4326WL,PINE,4
714,08N4107WL,PINE,40
715,08N4131SL,SPRUCE,26
716,03N4115WL,WESTERN LARCH,24
717,03N4123WL,FIR,30
718,03N4133NL,FIR,28
719,06N4306NL,WHITE FIR,12
720,07N4326WL,PINE,6
721,06N4306NL,BULL PINE,10
722,06N4306NL,BULL PINE,14
723,06N4306NL,YELLOW PINE,30
724,06N4306NL,WHITE FIR,12
